"filename", "language", "JavaScript", "JSON", "HTML", "XML", "CSS", "comment", "blank", "total"
"c:\Users\48801487\Desktop\Robin\Frontend\form\cargando.css", "CSS", 0, 0, 0, 0, 72, 0, 17, 89
"c:\Users\48801487\Desktop\Robin\Frontend\form\cargando.html", "HTML", 0, 0, 27, 0, 0, 0, 3, 30
"c:\Users\48801487\Desktop\Robin\Frontend\form\cargando.js", "JavaScript", 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\48801487\Desktop\Robin\Frontend\form\form.css", "CSS", 0, 0, 0, 0, 67, 0, 16, 83
"c:\Users\48801487\Desktop\Robin\Frontend\form\form.html", "HTML", 0, 0, 33, 0, 0, 0, 1, 34
"c:\Users\48801487\Desktop\Robin\Frontend\form\motivo.css", "CSS", 0, 0, 0, 0, 61, 0, 10, 71
"c:\Users\48801487\Desktop\Robin\Frontend\form\motivo.html", "HTML", 0, 0, 28, 0, 0, 0, 1, 29
"c:\Users\48801487\Desktop\Robin\Frontend\form\where.html", "HTML", 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\48801487\Desktop\Robin\Frontend\home\home.css", "CSS", 0, 0, 0, 0, 102, 0, 18, 120
"c:\Users\48801487\Desktop\Robin\Frontend\home\home.html", "HTML", 0, 0, 35, 0, 0, 0, 3, 38
"c:\Users\48801487\Desktop\Robin\Frontend\home\home.js", "JavaScript", 29, 0, 0, 0, 0, 0, 10, 39
"c:\Users\48801487\Desktop\Robin\Frontend\home\socket.js", "JavaScript", 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\48801487\Desktop\Robin\Frontend\horarios\horarios.css", "CSS", 0, 0, 0, 0, 79, 0, 18, 97
"c:\Users\48801487\Desktop\Robin\Frontend\horarios\horarios.html", "HTML", 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\48801487\Desktop\Robin\Frontend\horarios\horarios.js", "JavaScript", 12, 0, 0, 0, 0, 0, 7, 19
"c:\Users\48801487\Desktop\Robin\Frontend\horarios\socket.js", "JavaScript", 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\48801487\Desktop\Robin\Frontend\log\login\login.css", "CSS", 0, 0, 0, 0, 88, 0, 23, 111
"c:\Users\48801487\Desktop\Robin\Frontend\log\login\login.html", "HTML", 0, 0, 32, 0, 0, 2, 2, 36
"c:\Users\48801487\Desktop\Robin\Frontend\log\login\login.js", "JavaScript", 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\48801487\Desktop\Robin\Frontend\log\login\socket.js", "JavaScript", 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\48801487\Desktop\Robin\Frontend\log\sign-up\signup.html", "HTML", 0, 0, 31, 0, 0, 0, 2, 33
"c:\Users\48801487\Desktop\Robin\Frontend\log\sign-up\signup.js", "JavaScript", 15, 0, 0, 0, 0, 13, 5, 33
"c:\Users\48801487\Desktop\Robin\Frontend\log\sign-up\socket.js", "JavaScript", 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\48801487\Desktop\Robin\Frontend\photos\Group 2 (1) 1.svg", "XML", 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\48801487\Desktop\Robin\Frontend\photos\PRINCIPAL.svg", "XML", 0, 0, 0, 90, 0, 0, 1, 91
"c:\Users\48801487\Desktop\Robin\Frontend\photos\imgForm.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\48801487\Desktop\Robin\Frontend\photos\imgHome.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\48801487\Desktop\Robin\Frontend\photos\imgHora.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\48801487\Desktop\Robin\Frontend\photos\log_in.svg", "XML", 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\48801487\Desktop\Robin\Frontend\photos\segundaImgForm.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\48801487\Desktop\Robin\Frontend\photos\segundaImgHome.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\48801487\Desktop\Robin\Frontend\photos\segundaimgHora.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\48801487\Desktop\Robin\Frontend\start\index.html", "HTML", 0, 0, 32, 0, 0, 0, 3, 35
"c:\Users\48801487\Desktop\Robin\Frontend\start\script.js", "JavaScript", 24, 0, 0, 0, 0, 5, 21, 50
"c:\Users\48801487\Desktop\Robin\Frontend\start\style.css", "CSS", 0, 0, 0, 0, 87, 0, 23, 110
"c:\Users\48801487\Desktop\Robin\backend\DB\horarios.json", "JSON", 0, 149, 0, 0, 0, 0, 38, 187
"c:\Users\48801487\Desktop\Robin\backend\DB\usuarios.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\48801487\Desktop\Robin\backend\Log\index.js", "JavaScript", 70, 0, 0, 0, 0, 4, 36, 110
"c:\Users\48801487\Desktop\Robin\backend\Log\login.js", "JavaScript", 34, 0, 0, 0, 0, 0, 12, 46
"c:\Users\48801487\Desktop\Robin\backend\Log\register.js", "JavaScript", 39, 0, 0, 0, 0, 0, 11, 50
"c:\Users\48801487\Desktop\Robin\backend\package.json", "JSON", 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\48801487\Desktop\Robin\backend\server.js", "JavaScript", 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\48801487\Desktop\Robin\examples\ExampleHorarios\ejemplohorarios.html", "HTML", 0, 0, 15, 0, 0, 1, 3, 19
"c:\Users\48801487\Desktop\Robin\examples\ExampleHorarios\ejemplohorarios.js", "JavaScript", 44, 0, 0, 0, 0, 0, 8, 52
"c:\Users\48801487\Desktop\Robin\examples\script.js", "JavaScript", 7, 0, 0, 0, 0, 1, 3, 11
"c:\Users\48801487\Desktop\Robin\examples\signup.js", "JavaScript", 20, 0, 0, 0, 0, 0, 7, 27
"Total", "-", 396, 179, 298, 126, 556, 26, 347, 1928